3 1 152	 16.8 	 14.2 	 2.67 	
3 2 152	 19.2 	 15.5 	 3.67 	
3 4 152	 35.1 	 26.6 	 8.47 	
3 5 152	 36.2 	 27.4 	 8.83 	
3 10 152	 61.6 	 41.6 	 20 	
