1 1 20 152	 933 	 421 	 513 	
1 2 10 152	 1.28e+03 	 556 	 720 	
1 4 5 152	 2.81e+03 	 1.39e+03 	 1.43e+03 	
1 5 4 152	 2.89e+03 	 962 	 1.92e+03 	
1 10 2 152	 5.9e+03 	 1.09e+03 	 4.81e+03 	
