2 1 152	 1.3e+03 	 1.05e+03 	 252 	
2 2 152	 1.38e+03 	 1.04e+03 	 342 	
2 4 152	 2.07e+03 	 1.25e+03 	 822 	
2 5 152	 2.1e+03 	 1.25e+03 	 846 	
