3 1 152	 144 	 123 	 21.1 	
3 2 152	 154 	 125 	 28.4 	
3 4 152	 236 	 171 	 64.5 	
3 5 152	 240 	 173 	 66.9 	
3 10 152	 384 	 235 	 149 	
