1 1 152	 15.6 	 7.48 	 8.1 	
1 2 152	 23.4 	 11.8 	 11.6 	
1 4 152	 47.5 	 18.6 	 28.8 	
1 5 152	 48.7 	 18.8 	 29.9 	
1 10 152	 95.2 	 22.3 	 72.9 	
