1 1 152	 116 	 52.4 	 64 	
1 2 152	 169 	 79.3 	 89.6 	
1 4 152	 359 	 131 	 228 	
1 5 152	 367 	 132 	 235 	
1 10 152	 760 	 159 	 601 	
