2 1 152	 18 	 13.9 	 4.03 	
2 2 152	 20.4 	 14.8 	 5.65 	
2 4 152	 35.3 	 21.9 	 13.3 	
2 5 152	 35.8 	 21.9 	 13.8 	
2 10 152	 58.6 	 27.2 	 31.5 	
